,price,location,baths,bedrooms,Total_Area
2637,88.0,H-15,3,4,1361.255
2638,90.0,FECHS,2,2,1905.757
2639,42.0,Ali Pur,3,3,12251.294999999998
2640,140.0,Bahria Town,3,3,1361.255
2642,350.0,G-8,5,5,2178.008
2643,280.0,G-15,4,4,2178.008
2646,270.0,B-17,0,6,5445.0
2647,100.0,Shaheen Town,7,5,40020.897
2648,120.0,Soan Garden,3,3,38659.642
2649,36.0,D-13,2,4,2178.008
2651,110.0,H-13,5,5,1361.255
2653,258.0,G-15,7,7,3811.514
2654,320.0,G-9,4,5,38659.642
2655,380.0,DHA Defence,6,5,5445.0
2927,415.0,G-13,8,7,38659.642
2929,65.0,Ghauri Town,2,2,1361.255
2930,475.0,DHA Defence,0,9,4356.016
2931,900.0,F-6,6,6,48460.67799999999
2933,170.0,CBR Town,4,4,2994.7609999999995
2934,65.0,Bhara kahu,0,0,2178.008
2935,200.0,G-9,0,4,1633.506
2936,625.0,Bahria Town,6,5,98010.0
2937,510.0,E-11,7,6,4356.016
2938,115.0,Ghauri Town,6,4,1633.506
2940,220.0,DHA Defence,5,6,2722.51
2942,92.0,Shaheen Town,6,4,1361.255
2944,250.0,National Police Foundation O-9,6,6,5445.0
2946,120.0,Ghauri Town,6,6,1361.255
2947,130.0,Pakistan Town,5,4,1633.506
2948,2000.0,F-7,10,9,10890.0
2950,160.0,Meherban Colony,5,5,2178.008
2951,130.0,Zaraj Housing Scheme,5,4,2722.51
2952,900.0,E-11,8,6,5445.0
2953,500.0,DHA Defence,6,6,5445.0
2954,410.0,G-9,3,5,3811.514
2955,975.0,F-8,7,7,70785.0
2956,225.0,G-11,5,6,1361.255
2957,850.0,F-11,6,7,5445.0
2958,130.0,Ghauri Town,7,6,1905.757
2959,150.0,G-13,6,5,1089.004
2960,110.0,Multi Residencia & Orchards,5,4,2178.008
2961,560.0,Bhara kahu,10,11,59895.0
3236,600.0,F-10,7,7,5445.0
3237,185.0,Jhangi Syedan,0,0,2178.008
3242,165.0,I-10,4,5,1633.506
3243,300.0,Bahria Town,7,4,2722.51
3244,230.0,Soan Garden,6,6,4083.765
3245,45.0,Jhangi Syedan,3,3,1089.004
3247,300.0,DHA Defence,6,6,4900.518
3249,750.0,E-11,8,7,5445.0
3251,900.0,E-11,7,6,5445.0
3252,210.0,D-17,5,4,2722.51
3253,250.0,G-13,5,4,2994.7609999999995
3254,250.0,AGHOSH,10,10,5445.0
3256,1075.0,F-10,8,7,76230.0
3259,150.0,G-15,5,5,2178.008
3260,135.0,G-13,4,4,1089.004
3261,34.5,Khanna Pul,2,6,816.7529999999999
3263,65.0,PWD Housing Scheme,2,2,9528.785
3264,430.0,G-15,8,10,76230.0
3545,90.0,Bhara kahu,6,6,1361.255
3546,58.0,Kuri Road,3,4,1361.255
